block,name,label,estimate,lb,ub,fixed
regime,PU,unskilled productivity PU,1.90602617,0.05000000,3.00000000,false
regime,PS,skilled productivity PS,3.96641763,0.10000000,5.00000000,false
regime,α_U,unskilled damage shape α_U,5.29026540,0.10000000,8.00000000,false
regime,a_Γ,skilled offer shape a_Γ,2.55116704,0.30000000,6.00000000,false
regime,b_Γ,skilled offer shape b_Γ,0.95610445,0.30000000,6.00000000,false
unsk,k,unskilled vacancy cost k_U,0.00770409,0.00100000,1.50000000,false
unsk,λ,unskilled damage rate λ_U,0.20354636,0.00100000,0.95000000,false
skl,k,skilled vacancy cost k_S,0.19335622,0.00100000,1.50000000,false
skl,ξ,skilled exog. sep rate ξ,0.00000010,0.00000010,0.15000000,false
skl,λ,skilled quality shock λ_S,0.40049789,0.00100000,0.50000000,false
fixed,unsk_η,unsk_η,0.50000000,,,true
fixed,skl_η,skl_η,0.50000000,,,true
fixed,unsk_β,unsk_β,0.50000000,,,true
fixed,skl_β,skl_β,0.50000000,,,true
fixed,skl_σ,skl_σ,1.10000000,,,true
fixed,r,r,0.00416667,,,true
fixed,ν,ν,0.03841185,,,true
fixed,φ,φ,0.02222129,,,true
fixed,a_ℓ,a_ℓ,1.50537819,,,true
fixed,b_ℓ,b_ℓ,2.87219178,,,true
fixed,c,c,2.94357055,,,true
fixed,bU,bU,0.19600165,,,true
fixed,bT,bT,1.02175880,,,true
fixed,bS,bS,0.56562252,,,true
fixed,unsk_μ,unsk_μ,0.04329549,,,true
fixed,skl_μ,skl_μ,1.18859447,,,true

# Q = 3.1618108751e+04
# converged = false
# iterations = 10000
